keywords,counts
Cellobiose phosphorylase,1
Wsc,1
Sym1,1
Pex37,1
Pxmp2,1
Hyperbranching,1
Light-responsive genes,1
Mitochondrial respiration,1
Mitochondrial complex i assembly,1
Structural elucidation,1
Synthetic microbial community,1
Meta-omics,1
High temperature daqu,1
Chameleon-like microbes,1
Nematode-trapping fungus,1
Bio-control,1
Aohex1,1
Signature sequence,1
Pharmaceutical intermediate,1
Flavor and fragrance,1
Vegetative compatibility group,1
Het gene,1
Barrage,1
Allelic polymorphism,1
Furanoeremophilane-type sesquiterpene,1
Riboswitch,1
Senecio smithioides,1
Asteraceae,1
P53,1
Spatial representation,1
Reaction-diffusion pde models,1
Michaelis-menten kinetics,1
Leloup-goldbeter frq model,1
Intracellular protein signalling,1
Hill kinetics,1
Nitrogen regulation,1
Nmr1,1
Meab,1
Gs,1
Areb,1
Rna structural switch,1
Thiamine pyrophosphate,1
Cytochrome c oxidase (cox),1
Nutraceutical,1
Ascospore formation,1
Alternative oxidase (aox),1
Dsrna,1
Virus-host interaction,1
Mycovirus,1
Mycoreovirus,1
Model organism,1
Hypovirus,1
Fungal virus,1
Chestnut blight fungus,1
Intercellular connectivity,1
Spermatia,1
Nsdd,1
Phosphate-limitation,1
Wheat,1
Genetic circuits,1
Pathogenicity,1
Interspecies interaction,1
Mutagen sensitivity,1
Genetic manipulation,1
Gene replacement frequency,1
Dna ligase iv,1
Oxidative regioselectivity,1
Cellobiose fermentation,1
Osmotic stress responses,1
H3k9 trimethylation,1
Fvdim5,1
Lagos,1
Airborne,1
Plant synthetic biology,1
Organelle contacts,1
Arabidopsis,1
Bayesian network,1
Protein complexes,1
Target of rapamycin,1
Glucanosyl transferase,1
Glucanosyl hydrolase,1
Glucose sensing,1
Clp1,1
Glycogen synthase,1
Glycogen phosphorylase,1
Glycogen metabolism,1
Short-lifespan,1
Mutagen-sensitive,1
Mitochondrial dna maintenance,1
High mobility group box protein,1
Micafungin,1
Fluorescent protein tagging,1
Homologous recombination repair,1
Bimolecular fluorescence complementation (bifc),1
Viscosity effect,1
Steady-state,1
Reductive half-reaction,1
Propionate-3-nitronate,1
Detoxification,1
3-nitroproprionate,1
Polarity signal transduction,1
Orientation,1
Contact guidance,1
Glycoside hydrolase family 3,1
Nccel3a,1
Glycoside hydrolase family 45,1
High-let ion beam,1
Large deletion,1
Carbon starvation,1
Pellet,1
Secretory phospholipase a(2),1
Refolding,1
Non-detergent sulfobetain,1
Opsin,1
Thymidine kinase,1
Repetitive gene deletion,1
Negative selection marker,1
Marker recycling,1
Endoxylanase gh10-2 inducible promoter,1
Osmolytes,1
Ionic liquid,1
Autolysis,1
Viscosity,1
Mycelial morphology,1
Multiple mutations,1
Turgor,1
Hyphal tip growth,1
Fluorescence imaging,1
Corepressor,1
Core-clock mechanism,1
Synchronization,1
Single cell measurements,1
Phase,1
Hilbert phase,1
Chitin synthase 4,1
Cse-7,1
Albino genes,1
Non-homologous end-joining,1
Endoglucanases,1
Penta-ef-hand protein,1
Membrane repair,1
H3k27me2/3,1
N terminus,1
Isolation and purification of mitochondria,1
Flotation gradient,1
Cellular fractionation,1
Linear discriminant analysis (lda),1
Heme biosynthesis,1
D-arabinitol dehydrogenase,1
Mitochondrial proteomics,1
Ccg-8,1
Antifungal resistance,1
Adaptive responses,1
Phosphate sensing,1
Hi-c,1
Non self recognition,1
Histone methylation,1
Protein phosphatase 2,1
Protein kinase a,1
Glucose starvation,1
Beta-xylosidase,1
Protein expression,1
Nczrg-17,1
Cdf family,1
X-ray induced photoreduction,1
Neutron scattering,1
Neutron diffraction,1
Cellobiose dehydrogenases,1
Copper-responsive promoter,1
Calcineurin-responsive zinc finger-1,1
Extremite n-terminale,1
Myo-1,1
Morphogenesis,1
Myosin,1
Ribosome synthesis,1
Protein transport,1
Glycosylphosphatidylinositols,1
Importin-alpha,1
Nls peptide,1
Natural medium,1
Conidiospore,1
Artificial medium,1
Input,1
Membrane potential,1
Quantitative genetics,1
Population genetics,1
Microbes,1
Maternal effects,1
Crossing distance,1
Anisogamy,1
Mixed-fermentation,1
Egg production,1
Agri-food wastes,1
Lactobacillus plantarum,1
Enzyme activity,1
Methionine synthase,1
Mete,1
Cadmium,1
Xpf-ercc1,1
Nucleotide excision repair,1
Interstrand crosslink repair,1
Metabolic profiling,1
+tip proteins,1
Dynein-dynactin,1
Zinc cluster transcription factor,1
Life-history evolution,1
Geometric-mean fitness,1
Dormancy,1
Bet hedging,1
Xlnr/xyr1,1
Mcma,1
Clr-2/clrb/manr,1
Transposable elements,1
Genome defence,1
Coevolution,1
Oligosaccharide synthesis,1
Neurosporaside,1
Glycosphingolipid,1
Telomere repeats,1
Silencing,1
Position effect,1
Genes,1
Chromosome rearrangements,1
H3k27,1
Secretory phospholipase a2,1
Phospholipase c1,1
Pheromone response elements,1
Genetic interaction,1
Fertility,1
Ca2+/h+ exchanger,1
Ca2+ signaling,1
Retrograde signaling,1
Aod5,1
Spore germination,1
Stochasticity,1
Histone reader,1
Serine-threonine protein phosphatases,1
Casein kinase i,1
Plasma jet,1
Calcium accumulation,1
Vegetative hyphae,1
Neuronal polarization,1
Lipid domains/rafts,1
Fungal sphingolipids,1
Entrainment phase,1
Chronotype,1
Moonlight,1
Dim light,1
Tor pathway,1
Ragulator,1
Regulatory network,1
Phototransduction,1
Hexose transport,1
Nchxt-2,1
Nchxt-1,1
Protein aggregation,1
Nucleation kinetics,1
Kinetic control,1
Activation energy barrier,1
Tetrad analysis,1
Recombination,1
Octads,1
Crossing over,1
Tyrosine protein phosphatases,1
Aod2,1
Chromosome,1
Lis1,1
Pac-3 transcription factor,1
Site- directed mutagenesis,1
Rattus norvegicus,1
Neuronal calcium sensor-1,1
N-terminal myristoylation,1
Ef-hand domain,1
Calcium binding,1
Molecular breeding,1
Cellulase induction,1
Cellobiose uptake,1
Ptc,1
Prc,1
Ph signaling pathway,1
Trehalose,1
Calcium stress,1
Hyphal morphogenesis,1
Quinic acid,1
Qs,1
Qf2w,1
Qf2,1
Mosaic analysis,1
Mitotic recombination,1
Marcm,1
Lexaqf,1
Intersectional expression,1
Gal4qf,1
Histone acetylation,1
Gcn5,1
Cpc1/gcn4,1
Ultraviolet survival,1
Gamma-aminobutyric acid,1
Glutamate decarboxylase,1
Glutamate/gaba antiporter,1
Plant biomass degradation,1
Hyperosmotic response,1
Carbon metabolism,1
Map kinase cascade,1
Set,1
3-endoglucanases,1
Gfp tagging,1
Seb-1,1
Response surface methodology,1
Candida utilis,1
Nutrient limitation,1
Membrane permeabilization,1
Mammalian cell lines,1
Fusarium proliferatum,1
Candida spp.,1
Cre-1,1
Thioredoxin reductase,1
Phase of entrainment,1
Familial sleep phase syndrome,1
Atp-dependent rna helicase,1
G protein-coupled receptors,1
Glycosyl hydrolase,1
Glucanase,1
Prd-1,1
Helicase,1
Dbp-2,1
Synthetic protein scaffold,1
Calcineurin,1
Flba,1
Suz domain,1
Conditional gene expression,1
Phenotypic plasticity,1
G-matrix,1
Evolvability,1
Polysaccharide synthase,1
Cell wall polysaccharide,1
Cell wall glucan,1
Cell wall biogenesis,1
Sulfur starvation response,1
Tagged protein,1
Multinucleated fungi,1
Forced heterokaryon,1
Cyclin,1
Cdk,1
Shannon entropy,1
Rip suppression,1
R,1
Septal plugging,1
Mechanical injury,1
Noncoding rna,1
Antisense,1
Prebiotics,1
Soybean dreg oligosaccharide neurospora crassa ftir in vitro fermentation,1
Laccase,1
Cellobionate,1
Quantitative cell biology,1
Fungal microscopy,1
Fixed-cell imaging,1
In situ hi-c,1
Microdomain,1
Chromosome segment duplication,1
G protein,1
Mtocs,1
Fertilization,1
Kinesin,1
Dynein,1
Dynactin,1
Arginase,1
Metal-binding sites,1
Ca2+/sr2+ competetion,1
Ca2+ binding ability,1
Gamma-tubulin,1
Spindle pole bodies,1
Spa10,1
Spa-18,1
Pcp-1,1
Mtb-3,1
Genome heterozygosity,1
Aps-2,1
Mtdna maintenance,1
Short lifespan,1
Hmg-box,1
Dna-protein complexes,1
Protein cross-linking,1
Oligosaccharide,1
N-linked glycosylation,1
Mannosyltransferase,1
Cap59,1
Non-self-recognition,1
Quantitative acetyl-proteomics,1
Acetylated proteins,1
Genome topology,1
Genome organization,1
Inducible transcriptional control,1
Mitochondria isolation,1
Protein-dna interactions,1
Histone modifications,1
Chromatin immunoprecipitation,1
Teto,1
Tetr,1
Fluorescent repressor operator system,1
Fros,1
Protein-binding microarrays (pbm),1
Flb-3,1
Development control,1
Molybdate transporter,1
Qpcr,1
Mtdna quantification,1
Dna quantitation,1
Gene circuits,1
Model organisms,1
Lc-ms,1
Cancer stem cells,1
Breast cancer,1
3d spheroid,1
Population,1
Heterokaryosis,1
Biochemical mutants,1
Fungal genetics stock center,1
Repeats,1
Genomic rearrangements,1
Sustainability,1
Mycoprotein,1
Transcription factor binding,1
Hsp,1
Heat shock,1
Hsp promoters,1
Dynamic control,1
Chemical inducer,1
Ph and thermal tolerance,1
Mini-cellulase,1
Enzyme assays,1
Conservative amino acid replacements,1
Triacylglycerol,1
Oleic acid,1
Neurospora crass,1
Mevalonate metabolic pathway,1
Lycopene,1
High resolution melting,1
Competitive fitness,1
Luciferase real-time reporter,1
Clock regulation,1
Nourseothricin (ntc),1
Gene deletion,1
G418,1
Dominant drug resistance marker,1
Histone h4 acetylation,1
Hda-2,1
Reserve carbohydrate metabolism,1
Ambient ph stress,1
Molecular clock,1
Light signal transduction,1
Acetylation,1
Synthetic promoter,1
Nucleus,1
Trichogyne,1
Lignocellulosic biofuel,1
Beta-mannosidases,1
Tsp3,1
Tetraspanin,1
Idi gene,1
Perithecia,1
Glucuronoyl esterase,1
Mediator interaction,1
Mediated catalytic voltammetry,1
Entrapment,1
Electrochemical simulation,1
Chitosan polymer,1
Gene knockouts,1
Vegetative incompatibility,1
Self/nonself recognition,1
Beta-mannanases,1
Polarisome,1
Beta-mannan,1
P-nitrophenyl-beta-d-mannopyranoside,1
Manno-oligosaccharide,1
Vacuoles,1
Neursopora crassa,1
Myo-5,1
Class v myosin,1
Gul-1,1
Cot-1,1
Ssd1,1
Light control,1
Nit mutant,1
Sec-4,1
Vacuole,1
Non-self recognition,1
Checkpoint kinase 2,1
Mtor,1
Aox,1
Polyacrylic acid,1
Luciferase reporter,1
Glucose utilization,1
Telomeric silencing,1
Non-core prc2,1
Ste12,1
Microbial lipids,1
Dilute-acid pretreated miscanthus,1
Biodiesel,1
Calcium/calmodulin-dependent protein kinases,1
Voltammetry,1
Enzyme,1
Gwt-1,1
Gpi-anchor biosynthesis,1
Aminopyrifen,1
Unit of selection,1
Individuality,1
Fungal biology,1
Chimaerism,1
Protoplast isolation,1
Library construction,1
Sec-mals,1
Rvb-1 and rvb-2 proteins,1
Molecular modeling,1
Atpase activity,1
Translation inhibition,1
Rab gtpase-activating protein,1
Msb4,1
Protein o-glycosylation,1
Fungal melanin,1
Phase shift,1
Integrated network model,1
Coupled positive and negative feedback loops,1
Environmental microbiology,1
Xylan,1
Glucuronoxylan,1
Reverse genetic screen,1
Physiological function,1
Histone exchange,1
Chromatin profiling,1
Neurospora crassa heterochromatin,1
Strain improvement,1
Fungal breeding,1
Frq-wcc oscillator,1
Msb3,1
Histone h1,1
Protein degradation,1
Cop9 signalosome,1
Thrombolytic agent,1
Purification,1
Fibrinolytic enzyme,1
Fermentation,1
Cardiovascular diseases,1
Cell development,1
Conidiophore,1
Evolution of development (evo-devo),1
Apses transcription factor,1
Cellobiohydrolase i,1
Phosphorylation-dependent transcriptional activity,1
Ppp-1,1
Eif2gamma,1
Phosphatase,1
Gyp-3,1
Reference genes,1
Quinic acid induction,1
Transceptor,1
Resequencing,1
Repeat-induced point (rip) mutation,1
Mutational burden,1
N-acetylglucosamine,1
Glcnac catabolism,1
Dicing assay,1
Dcl2,1
Diurnal rhythm,1
Nmd,1
Regulation of nitrogen metabolism,1
Nuclear protein transport,1
Cotranscriptional folding,1
Tpp riboswitch,1
Strep-tag(r),1
Recombinant protein expression,1
Phenotypic analysis,1
Hierarchical clustering,1
Cytosine methylation,1
Proteases,1
Heterologous proteins,1
Fusion protein,1
Bioreactor,1
Antibody fragments,1
Rna-binding protein,1
Nonsense mediated decay,1
Protein,1
"""biais dusage des codons""",1
Gene multiplicity,1
Dehydrogenase,1
Ascorbic acid,1
Regulation of essential genes,1
Protein overexpression,1
Gene function,1
Copper sulfate (cuso4),1
Bathocuproinedisulfonic acid,1
Second-generation biofuel,1
Positive feedback loop,1
"""stabilite de larn""",1
"""methylation des cytosines de ladn""",1
Codon usage bias,1
Dna cytosine methylation,1
Phosphatidic acid,1
Rna virus,1
Rna stem-loop,1
Rna imaging,1
Plant virus,1
Csy4,1
Arnt,1
Lc-ms/ms,1
Lentil,1
Antimicrobial peptide,1
Nitrilase,1
Cyanide,1
Meat alternative,1
Vmh2,1
Mutualism,1
Phospholipase d,1
Perithecia development,1
Cell wall synthesis,1
Lineage tracing,1
Knock-in,1
Gene tagging,1
Pyroptosis,1
Innate immunity,1
Gasdermin,1
6-mannanase,1
Gh76 alpha-1,1
Extracellular protein targeting,1
Dfg5,1
Cell wall biosynthesis,1
Transcription termination,1
Evolutionary biology,1
Zinc transporter (tzn-1),1
Heme,1
Mascot,1
Maldi-pmf,1
,1
Fgsc blastp and qrt-pcr,1
2de,1
Translation termination,1
Readthrough,1
Nonsense-mediated decay,1
Eukaryotic release factor 1,1
Convergent evolution,1
Autoregulation,1
Ultracentrifugation,1
Prosthetic group insertion,1
Hydrophobin,1
Hfbii,1
Eas,1
Conidiogenesis,1
Mus-43,1
Ner,1
Beta-barrel energetics,1
Protein-conducting channel,1
Machine learning,1
Integrative,1
Essential genes,1
Drug targets,1
Cotranslational protein folding,1
Gcn4,1
Cpc-1,1
Genotoxic stress,1
Polycomb,1
Optical dimerizer,1
Transmission electron microscopy,1
Cry2/cib1,1
Lipid,1
Citric acid,1
Cellodextrin,1
Biotransformation,1
Ureolytic fungi,1
Extracellular protein,1
Uracil,1
Knock-out,1
Crispr,1
Alternaria,1
Protein structures,1
Oxidoreductases,1
Mus-44,1
G. lucidum,1
White collar-2,1
Aspergillus niger,1
Extracellular vesicles,1
Smfish,1
Liquid-liquid phase separation,1
Chromatin accessibility,1
Atac-seq,1
Intron phasing,1
Intron insertion-sites,1
Group i intron,1
Core creep,1
Tom70,1
Selectivity filter,1
Protein targeting,1
Ion channel,1
Chaperones,1
Wound healing,1
Lycium shawii,1
Endophytes,1
Benzoic acid,1
Antimicrobial activity,1
Pathogenic bacteria,1
Bactericide release,1
Antibiotic-loaded surface,1
Ag-doped ticapcon films,1
Regulacion transcripcional,1
Expresion de genes,1
Celulosa,1
Celulasas,1
Zebrafish,1
Isoflavone glycosides,1
Amylose,1
Dioxygenase,1
Cell factory,1
H3k36 methyltransferase,1
Sputtering,1
Silver,1
Multicomponent films,1
Bioactivity,1
Dbp2p,1
Fruit body,1
Cordycepin,1
Stilbenoid,1
Solvent isotope effect,1
Non-heme iron,1
Iron,1
Crystallography,1
Albino,1
X-ray absorption spectroscopy,1
O2 activation,1
Metallo enzymes,1
Surface residues with increased residence time for h(2)o(2),1
Metal-binding,1
M-y-w adduct,1
Kinetics,1
Heme-epr,1
Catalase-peroxidase structure,1
Amino-acid radical,1
Glucan synthase,1
Chitin synthases,1
Cell wall formation,1
Citrus pulp,1
D-galacturonic acid,1
Rna misfolding,1
Rna tertiary structure,1
Geomycology,1
Geomicrobiology,1
Pectate lyase,1
Open reading frame,1
Mineral medium,1
Methanol oxidase,1
Gene ontology,1
Branched chain amino acid,1
"""witches broom disease""",1
Small ubiquitin-like modifier,1
Ptm,1
Ppi,1
Pme,1
Pl,1
Pg,1
Orf,1
Mox,1
Mm,1
Go,1
Energy metabolism,1
Acetolactate synthase,1
Lysine methylation,1
Zymoseptoria,1
Cryptococcus,1
Protein import,1
Superfamily 2 helicase,1
Rna unwinding,1
Degenerate strain,1
Cordyceps mushroom,1
Auxiliary activity (aa) enzyme,1
Rhodobacter,1
Motion coordination,1
Rac-1,1
Directional tip growth,1
Conidial anastomosis tube,1
Crib,1
Cdc-42,1
Succinyl-coa ligase,1
Singlet oxygen,1
Peptide methionine sulphoxide reductase,1
Glutathione s-transferase,1
Cercosporin,1
Aldo/keto reductase,1
Aldehyde dehydrogenase,1
O-acetylhomoserine (thiol) lyase,1
Multicopy integration,1
Cercospora,1
L-amino acid oxidases,1
Recombination-independent,1
Mutation,1
Homologous pairing,1
Polyalthia longifolia,1
Natural products,1
Isolation,1
Flash chromatography,1
Diterpene,1
Starch,1
Oxygenase,1
Metalloprotein,1
Protein channels,1
Solvent/protein interactions,1
Structure/function,1
Amphipathic,1
Cofactor regeneration,1
Risirna,1
Rrna,1
Nucleolus,1
Nrde,1
Qalocus,1
Transgenesis,1
Bipartite system,1
Copper enzymes,1
Cbm20,1
Fluorescence resonance energy transfer fret,1
Molyprobe,1
Toxicity resistance,1
Ion transport,1
Environmental toxin,1
Dual membrane topology,1
Plasma membrane fusion,1
Cellulolytic enzymes,1
Antisense transcription,1
Resistance,1
Mechanisms of action,1
Calcium signalling,1
Antimicrobial agents,1
Antifungal peptides,1
Paf26,1
Self-assembly,1
Monolayer,1
Single-copy orthologs,1
Hypothetical proteins,1
Prd-2,1
Glycoside hydrolase family 94,1
Nonadaptive evolution,1
Mitochondrial evolution,1
Nonself recognition,1
Stand proteins,1
Het domain,1
Directed growth,1
Regioselectivity,1
Alphaglc1p,1
Alpha-d-glucose 1-phosphate,1
Polyacrylamide-gel electrophoresis,1
Glycoside hydrolase family,1
Xanthomonas campestris,1
Page,1
Cellobionic acid phosphorylase,1
Skc1,1
Sphingomyelin,1
Plasma membrane biophysical properties,1
Phenolic acids,1
Fluorescent probes,1
Fret,1
Cholesterol,1
Rice straw,1
Multi-strain fermentation,1
Pochonia chlamydosporia,1
Xylosyl-xylitol,1
Xylodextrin,1
Computational biology,1
Cofermentation,1
Transposon,1
A-to-i editing,1
Gene expression divergence,1
Light-activated gene expression,1
Escherichia coli expression,1
Antibacterial peptide,1
Abp-dhc-cecropin a,1
Glycoside hydrolase family 16,1
3-galactanase,1
Endo-beta-1,1
Arabinogalactan-protein,1
Fungal biotechnology,1
Enzyme hypersecretion,1
F-box proteins,1
Cazyme gene regulation,1
Rrm domain,1
Long non-coding rna,1
Histone lysine methyltransferase,1
Fumonisins,1
Histone h3 lysine 9 methylation,1
Histone h3 lysine 4 methylation,1
Proteolysis,1
Limited digestion,1
Crafty,1
Nucleic acid structure,1
Rna,1
Dead-box protein,1
Atp,1
Light-entrainment,1
Eef-2,1
Spore killer,1
Gene drive,1
S. cerevisiae,1
B. subtilis,1
Synthetic gene cluster,1
Rna granules,1
Compound i,1
Composite datasets,1
Catalase,1
Electron microscopy (em),1
Rna-dependent rna polymerase,1
Rna polymerase,1
Set2,1
H3k36 methylation,1
Conformation,1
Nca-2,1
Frq phosphorylation,1
Ca2+-cam-dependent kinases,1
Camk,1
P-bodies,1
Synthetic expression system,1
Frq transcription,1
Feedback loop,1
Ccgs,1
Wc-2,1
Dna binding,1
C-box,1
Hydrodynamics,1
Heterokaryon,1
Biological networks,1
Growth rate,1
Cell polarity,1
Regulatable promoters,1
Upf1 / prd-6,1
Ferrous heme,1
X-ray reduction,1
Fluorescence microscopy,1
Laser beam combining,1
Secondary metabolite production,1
Hybrid transcription factor,1
Stress priming,1
Stress memory,1
Saprotrophic filamentous fungi,1
Drought stress,1
Social evolution,1
Kin selection,1
Ascomycete fungi,1
Xylose specific transporter,1
Glucose-xylose co-utilization,1
Azole resistance,1
Azole accumulation,1
Stk-17,1
Fusarium verticilioides,1
Plant biomass deconstruction,1
Blue-light switch,1
Fusion partner,1
Excretory expression,1
Time-lapse imaging,1
Genetically encoded calcium indicators,1
Calcium signature,1
Parametric model,1
Non-parametric model,1
Circ,1
Multiple imaging,1
Medical and biological imaging,1
Sumo,1
Isothermal titration calorimetry (itc),1
Qf activator,1
Intermolecular electron transfer (ieet),1
Conformational equilibrium,1
Circadian regulator,1
Pyp,1
Hx,1
Ex1,1
Oscillation,1
Manganese,1
Electrochemical materials,1
Small-angle scattering,1
Redox complex,1
Oxidative cellulose degradation,1
Modeling,1
Intramolecular electron transfer (iaet),1
Telomerase,1
Glycoengineering,1
Type ii copper protein,1
Electron paramagnetic resonance,1
Sec-9 snare,1
Podospora,1
Nod-like receptors,1
Synergy,1
Oxidative cellulose surface degradation,1
Gh61-aa9,1
Atomic force microscopy (afm),1
Enzymology,1
Chemical trapping,1
Biosynthetic pathway,1
C-s bond cleavage,1
Hydrogen ((1)h/(2)h) exchange,1
Photoactive yellow protein,1
Sirna,1
Major facilitator superfamily (mfs),1
Translational control,1
Small gtpase,1
Camp,1
Ras protein,1
Transglycosylation,1
Simultaneous saccharification and fermentation (ssf),1
Ethyl-beta-d-glucoside,1
Segregation distortion,1
Meiotic drive,1
Mtdna deletion,1
Short life span,1
Neusospora crassa,1
Msh1,1
Protein assembly,1
Heat shock protein 90 (hsp90),1
Trk transporter,1
Non-perfect adaptation,1
Intracellular potassium,1
Period length,1
Mutants,1
Natural antisense transcripts,1
Beta-barrel protein,1
Transmembrane domain,1
Scam,1
Unfolded protein response (upr),1
Stress-seventy subfamily b (ssb),1
Ribosome associated complex (rac),1
Rad54,1
Xlnr,1
Qs repressor,1
Wc-independent frq,1
Active-site copper,1
Mass spectrometry (ms),1
Aa10,1
Reduction,1
Protonation,1
Enzymatic mechanism,1
"""spliced 3-utr intron""",1
Post-transcriptional control,1
Nonsense-mediated mrna decay (nmd),1
Exon junction complex (ejc),1
Cap-binding complex (cbc),1
Histone modification,1
Clock gene,1
Set-2 pathway,1
Penicillium oxalicum,1
Transcriptional repressor,1
Protein interactions,1
Intrinsically disordered,1
Poly-saturated dolichols,1
Lipidome,1
Dolichyl phosphate mannose synthase,1
Nitrogen utilization,1
Rnaseq,1
Dapseq,1
Kind recognition,1
Cooperation,1
Transcriptional activation,1
Qa locus,1
Metalloenzyme,1
Cofactors,1
Heterocycles,1
Pteridine,1
Targeted gene disruption,1
Photosensitizer resistance,1
Perylenequinone,1
Mfs transporter,1
Cncfp,1
Cnatr1,1
Crg1,1
Abc transporter,1
Translational elongation,1
Tandem mass tag mass spectrometry,1
Post-transcriptional regulation,1
Wsca,1
Woronin body,1
Hexa,1
Alpha/beta-hydrolase,1
Egfp-fusion,1
Indels,1
Endoplasmic retention signal,1
Bud emergence 46 (bem46),1
Mucorales,1
Mating type locus,1
Hmg-domain,1
Blue light sensing,1
Amino acids,1
Competitive inhibition,1
Cellulose/hemicellulose signaling,1
Synthesis,1
Simaba ferruginea,1
