up:G2Q701,mtm:MYCTH_100011
up:G2Q0A0,mtm:MYCTH_2294137
up:G2Q0A1,mtm:MYCTH_2294138
up:G2Q0A2,mtm:MYCTH_2294143
up:G2Q0A3,mtm:MYCTH_2294145
up:G2Q0A5,mtm:MYCTH_2294147
up:G2Q0A6,mtm:MYCTH_2294148
up:G2Q0B0,mtm:MYCTH_2294164
up:G2Q0B1,mtm:MYCTH_2294165
up:G2Q0B3,mtm:MYCTH_2294168
up:G2Q0B5,mtm:MYCTH_2294173
up:G2Q0B6,mtm:MYCTH_2294181
up:G2Q0B7,mtm:MYCTH_2294188
up:G2Q0B8,mtm:MYCTH_2294189
up:G2Q0B9,mtm:MYCTH_2294191
up:G2Q0C0,mtm:MYCTH_2294192
up:G2Q0C1,mtm:MYCTH_2294193
up:G2Q0C3,mtm:MYCTH_2294197
up:G2Q0C4,mtm:MYCTH_2294200
up:G2Q0C5,mtm:MYCTH_2294202
up:G2Q0C7,mtm:MYCTH_2294206
up:G2Q0C9,mtm:MYCTH_2294210
up:G2Q0D1,mtm:MYCTH_2294213
up:G2Q0D2,mtm:MYCTH_2294215
up:G2Q0D3,mtm:MYCTH_2294216
up:G2Q0D5,mtm:MYCTH_2294218
up:G2Q0D6,mtm:MYCTH_2294220
up:G2Q0D8,mtm:MYCTH_2294223
up:G2Q0D9,mtm:MYCTH_2294224
up:G2Q0E0,mtm:MYCTH_2294226
up:G2Q0E1,mtm:MYCTH_2294230
up:G2Q0E2,mtm:MYCTH_2294231
up:G2Q0E3,mtm:MYCTH_2294232
up:G2Q0E4,mtm:MYCTH_2294233
up:G2Q0E5,mtm:MYCTH_2294236
up:G2Q0E6,mtm:MYCTH_2294238
up:G2Q0E7,mtm:MYCTH_2294240
up:G2Q0E8,mtm:MYCTH_2294243
up:G2Q0F0,mtm:MYCTH_2294247
up:G2Q0R4,mtm:MYCTH_2294249
up:G2Q0R5,mtm:MYCTH_2294250
up:G2Q0R6,mtm:MYCTH_2294252
up:G2Q0R7,mtm:MYCTH_2294253
up:G2Q0R9,mtm:MYCTH_2294261
up:G2Q0S0,mtm:MYCTH_2294264
up:G2Q0S2,mtm:MYCTH_2294267
up:G2Q0S3,mtm:MYCTH_2294268
up:G2Q0S4,mtm:MYCTH_2294274
up:G2Q0S8,mtm:MYCTH_2294281
up:G2Q0T1,mtm:MYCTH_2294289
up:G2Q0T3,mtm:MYCTH_2294293
up:G2Q0T5,mtm:MYCTH_2294298
up:G2Q0T6,mtm:MYCTH_2294300
up:G2Q0T8,mtm:MYCTH_2294303
up:G2Q0U2,mtm:MYCTH_2294307
up:G2Q0U3,mtm:MYCTH_2294309
up:G2Q0U4,mtm:MYCTH_2294310
up:G2Q0U6,mtm:MYCTH_2294314
up:G2Q0U8,mtm:MYCTH_2294321
up:G2Q0U9,mtm:MYCTH_2294324
up:G2Q0V0,mtm:MYCTH_2294326
up:G2Q0V1,mtm:MYCTH_2294330
up:G2Q0V2,mtm:MYCTH_2294333
up:G2Q0V3,mtm:MYCTH_2294336
up:G2Q0V5,mtm:MYCTH_2294340
up:G2Q0V6,mtm:MYCTH_2294343
up:G2Q0V7,mtm:MYCTH_2294344
up:G2Q0V9,mtm:MYCTH_2294347
up:G2Q0W0,mtm:MYCTH_2294348
up:G2Q0W1,mtm:MYCTH_2294350
up:G2Q0W3,mtm:MYCTH_2294353
up:G2Q0W5,mtm:MYCTH_2294358
up:G2Q0W7,mtm:MYCTH_2294361
up:G2Q177,mtm:MYCTH_2294362
up:G2Q178,mtm:MYCTH_2294366
up:G2Q179,mtm:MYCTH_2294367
up:G2Q180,mtm:MYCTH_2294369
up:G2Q181,mtm:MYCTH_2294372
up:G2Q182,mtm:MYCTH_2294375
up:G2Q184,mtm:MYCTH_2294384
up:G2Q185,mtm:MYCTH_2294385
up:G2Q186,mtm:MYCTH_2294386
up:G2Q188,mtm:MYCTH_2294390
up:G2Q189,mtm:MYCTH_2294392
up:G2Q190,mtm:MYCTH_2294394
up:G2Q191,mtm:MYCTH_2294398
up:G2Q192,mtm:MYCTH_2294400
up:G2Q193,mtm:MYCTH_2294401
up:G2Q195,mtm:MYCTH_2294405
up:G2Q196,mtm:MYCTH_2294406
up:G2Q197,mtm:MYCTH_2294408
up:G2Q198,mtm:MYCTH_2294412
up:G2Q199,mtm:MYCTH_2294414
up:G2Q1A0,mtm:MYCTH_2294415
up:G2Q1A1,mtm:MYCTH_2294417
up:G2Q1A2,mtm:MYCTH_2294418
up:G2Q1A3,mtm:MYCTH_2294421
up:G2Q1A4,mtm:MYCTH_2294422
up:G2Q1A5,mtm:MYCTH_2294426
up:G2Q1A6,mtm:MYCTH_2294427
up:G2Q1A7,mtm:MYCTH_2294429
up:G2Q1A8,mtm:MYCTH_2294430
up:G2Q1A9,mtm:MYCTH_2294433
up:G2Q1B0,mtm:MYCTH_2294435
up:G2Q1B3,mtm:MYCTH_2294445
up:G2Q1B5,mtm:MYCTH_2294446
up:G2Q1B7,mtm:MYCTH_2294448
up:G2Q1B9,mtm:MYCTH_2294455
up:G2Q1C1,mtm:MYCTH_2294459
up:G2Q1C8,mtm:MYCTH_2294471
up:G2Q1C9,mtm:MYCTH_2294472
up:G2Q1N8,mtm:MYCTH_2294476
up:G2Q1N9,mtm:MYCTH_2294478
up:G2Q1P0,mtm:MYCTH_2294482
up:G2Q1P1,mtm:MYCTH_2294483
up:G2Q1P2,mtm:MYCTH_2294485
up:G2Q1P5,mtm:MYCTH_2294490
up:G2Q1P6,mtm:MYCTH_2294493
up:G2Q1P7,mtm:MYCTH_2294496
up:G2Q1P9,mtm:MYCTH_2294498
up:G2Q1Q0,mtm:MYCTH_2294499
up:G2Q1Q2,mtm:MYCTH_2294503
up:G2Q1Q3,mtm:MYCTH_2294504
up:G2Q1Q8,mtm:MYCTH_2294518
up:G2Q1Q9,mtm:MYCTH_2294520
up:G2Q1R0,mtm:MYCTH_2294522
up:G2Q1R1,mtm:MYCTH_2294523
up:G2Q1R2,mtm:MYCTH_2294525
up:G2Q1R8,mtm:MYCTH_2294540
up:G2Q1R9,mtm:MYCTH_2294541
up:G2Q1S1,mtm:MYCTH_2294543
up:G2Q1S4,mtm:MYCTH_2294547
up:G2Q1S5,mtm:MYCTH_2294549
up:G2Q1S6,mtm:MYCTH_2294550
up:G2Q1S7,mtm:MYCTH_2294554
up:G2Q1S8,mtm:MYCTH_2294555
up:G2Q1S9,mtm:MYCTH_2294558
up:G2Q1T0,mtm:MYCTH_2294559
up:G2Q1T3,mtm:MYCTH_2294574
up:G2Q1T5,mtm:MYCTH_2294582
up:G2Q1T6,mtm:MYCTH_2294585
up:G2Q1T7,mtm:MYCTH_2294587
up:G2Q1T8,mtm:MYCTH_2294589
up:G2Q1T9,mtm:MYCTH_2294596
up:G2Q1U0,mtm:MYCTH_2294601
up:G2Q249,mtm:MYCTH_2294607
up:G2Q251,mtm:MYCTH_2294614
up:G2Q253,mtm:MYCTH_2294618
up:G2Q254,mtm:MYCTH_2294621
up:G2Q255,mtm:MYCTH_2294623
up:G2Q256,mtm:MYCTH_2294624
up:G2Q258,mtm:MYCTH_2294631
up:G2Q259,mtm:MYCTH_2294635
up:G2Q261,mtm:MYCTH_2294640
up:G2Q262,mtm:MYCTH_2294643
up:G2Q263,mtm:MYCTH_2294646
up:G2Q265,mtm:MYCTH_2294650
up:G2Q266,mtm:MYCTH_2294653
up:G2Q267,mtm:MYCTH_2294655
up:G2Q268,mtm:MYCTH_2294657
up:G2Q269,mtm:MYCTH_2294661
up:G2Q270,mtm:MYCTH_2294663
up:G2Q271,mtm:MYCTH_2294664
up:G2Q274,mtm:MYCTH_2294675
up:G2Q275,mtm:MYCTH_2294679
up:G2Q276,mtm:MYCTH_2294684
up:G2Q277,mtm:MYCTH_2294689
up:G2Q282,mtm:MYCTH_2294698
up:G2Q283,mtm:MYCTH_2294700
up:G2Q285,mtm:MYCTH_2294705
up:G2Q287,mtm:MYCTH_2294706
up:G2Q288,mtm:MYCTH_2294707
up:G2Q291,mtm:MYCTH_2294711
up:G2Q292,mtm:MYCTH_2294713
up:G2Q296,mtm:MYCTH_2294721
up:G2Q297,mtm:MYCTH_2294727
up:G2Q299,mtm:MYCTH_2294730
up:G2Q2A0,mtm:MYCTH_2294733
up:G2Q2A1,mtm:MYCTH_2294734
up:G2Q2A2,mtm:MYCTH_2294738
up:G2Q2L4,mtm:MYCTH_2294749
up:G2Q2L5,mtm:MYCTH_2294752
up:G2Q2L6,mtm:MYCTH_2294755
up:G2Q2L7,mtm:MYCTH_2294757
up:G2Q2L8,mtm:MYCTH_2294760
up:G2Q2L9,mtm:MYCTH_2294761
up:G2Q2M2,mtm:MYCTH_2294768
up:G2Q2M5,mtm:MYCTH_2294774
up:G2Q2M9,mtm:MYCTH_2294775
up:G2Q2N0,mtm:MYCTH_2294783
up:G2Q2N1,mtm:MYCTH_2294784
up:G2Q2N2,mtm:MYCTH_2294789
up:G2Q2N3,mtm:MYCTH_2294791
up:G2Q2N5,mtm:MYCTH_2294793
up:G2Q2N6,mtm:MYCTH_2294795
up:G2Q2N7,mtm:MYCTH_2294799
up:G2Q2N8,mtm:MYCTH_2294800
up:G2Q2N9,mtm:MYCTH_2294802
up:G2Q2P0,mtm:MYCTH_2294805
up:G2Q2P2,mtm:MYCTH_2294810
up:G2Q2P3,mtm:MYCTH_2294811
up:G2Q2P4,mtm:MYCTH_2294813
up:G2Q2P5,mtm:MYCTH_2294814
up:G2Q2P6,mtm:MYCTH_2294815
up:G2Q2P7,mtm:MYCTH_2294816
up:G2Q2P8,mtm:MYCTH_2294817
up:G2Q2Q0,mtm:MYCTH_2294820
up:G2Q2Q1,mtm:MYCTH_2294821
up:G2Q2Q2,mtm:MYCTH_2294824
up:G2Q2Q3,mtm:MYCTH_2294825
up:G2Q2Q6,mtm:MYCTH_2294830
up:G2Q2Q7,mtm:MYCTH_2294835
up:G2Q2Q8,mtm:MYCTH_2294840
up:G2Q2Q9,mtm:MYCTH_2294844
up:G2Q2R0,mtm:MYCTH_2294846
up:G2Q2R1,mtm:MYCTH_2294851
up:G2Q2R2,mtm:MYCTH_2294852
up:G2Q2R4,mtm:MYCTH_2294854
up:G2Q321,mtm:MYCTH_2294858
up:G2Q322,mtm:MYCTH_2294860
up:G2Q324,mtm:MYCTH_2294863
up:G2Q325,mtm:MYCTH_2294864
up:G2Q326,mtm:MYCTH_2294867
up:G2Q328,mtm:MYCTH_2294870
up:G2Q329,mtm:MYCTH_2294872
up:G2Q331,mtm:MYCTH_2294878
up:G2Q333,mtm:MYCTH_2294886
up:G2Q335,mtm:MYCTH_2294895
up:G2Q336,mtm:MYCTH_2294897
up:G2Q344,mtm:MYCTH_2294923
up:G2Q345,mtm:MYCTH_2294926
up:G2Q347,mtm:MYCTH_2294928
up:G2Q348,mtm:MYCTH_2294934
up:G2Q349,mtm:MYCTH_2294938
up:G2Q351,mtm:MYCTH_2294942
up:G2Q352,mtm:MYCTH_2294943
up:G2Q353,mtm:MYCTH_2294947
up:G2Q357,mtm:MYCTH_2294959
up:G2Q358,mtm:MYCTH_2294962
up:G2Q360,mtm:MYCTH_2294970
up:G2Q361,mtm:MYCTH_2294977
up:G2Q362,mtm:MYCTH_2294980
up:G2Q364,mtm:MYCTH_2294987
up:G2Q365,mtm:MYCTH_2294991
up:G2Q366,mtm:MYCTH_2294994
up:G2Q368,mtm:MYCTH_2294996
up:G2Q369,mtm:MYCTH_2294998
up:G2Q370,mtm:MYCTH_2294999
up:G2Q372,mtm:MYCTH_2295005
up:G2Q373,mtm:MYCTH_2295009
up:G2Q3I2,mtm:MYCTH_2295015
up:G2Q3I3,mtm:MYCTH_2295017
up:G2Q3I4,mtm:MYCTH_2295019
up:G2Q3I5,mtm:MYCTH_2295020
up:G2Q3I6,mtm:MYCTH_2295025
up:G2Q3I8,mtm:MYCTH_2295033
up:G2Q3I9,mtm:MYCTH_2295034
up:G2Q3J1,mtm:MYCTH_2295037
up:G2Q3J2,mtm:MYCTH_2295038
up:G2Q3J3,mtm:MYCTH_2295039
up:G2Q3J4,mtm:MYCTH_2295040
up:G2Q3J5,mtm:MYCTH_2295044
up:G2Q3J7,mtm:MYCTH_2295050
up:G2Q3J9,mtm:MYCTH_2295056
up:G2Q3K1,mtm:MYCTH_2295064
up:G2Q3K3,mtm:MYCTH_2295068
up:G2Q3K4,mtm:MYCTH_2295069
up:G2Q3K8,mtm:MYCTH_2295071
up:G2Q3L0,mtm:MYCTH_2295074
up:G2Q3L1,mtm:MYCTH_2295075
up:G2Q3L2,mtm:MYCTH_2295076
up:G2Q3L4,mtm:MYCTH_2295083
up:G2Q3L5,mtm:MYCTH_2295088
up:G2Q3L6,mtm:MYCTH_2295089
up:G2Q3L7,mtm:MYCTH_2295090
up:G2Q3L8,mtm:MYCTH_2295092
up:G2Q3M0,mtm:MYCTH_2295096
up:G2Q3M1,mtm:MYCTH_2295097
up:G2Q3M2,mtm:MYCTH_2295098
up:G2Q3M3,mtm:MYCTH_2295100
up:G2Q3M5,mtm:MYCTH_2295106
up:G2Q3M7,mtm:MYCTH_2295109
up:G2Q3M9,mtm:MYCTH_2295112
up:G2Q3N1,mtm:MYCTH_2295119
up:G2Q3N2,mtm:MYCTH_2295120
up:G2Q3N3,mtm:MYCTH_2295124
up:G2Q3N4,mtm:MYCTH_2295128
up:G2Q3N5,mtm:MYCTH_2295130
up:G2Q3Z3,mtm:MYCTH_2295132
up:G2Q3Z5,mtm:MYCTH_2295135
up:G2Q3Z6,mtm:MYCTH_2295138
up:G2Q3Z7,mtm:MYCTH_2295141
up:G2Q3Z9,mtm:MYCTH_2295145
up:G2Q401,mtm:MYCTH_2295152
up:G2Q402,mtm:MYCTH_2295153
up:G2Q403,mtm:MYCTH_2295154
up:G2Q404,mtm:MYCTH_2295155
up:G2Q405,mtm:MYCTH_2295158
up:G2Q407,mtm:MYCTH_2295162
up:G2Q408,mtm:MYCTH_2295164
up:G2Q409,mtm:MYCTH_2295168
up:G2Q410,mtm:MYCTH_2295173
up:G2Q411,mtm:MYCTH_2295174
up:G2Q412,mtm:MYCTH_2295176
up:G2Q413,mtm:MYCTH_2295177
up:G2Q414,mtm:MYCTH_2295178
up:G2Q415,mtm:MYCTH_2295180
up:G2Q416,mtm:MYCTH_2295183
up:G2Q418,mtm:MYCTH_2295186
up:G2Q420,mtm:MYCTH_2295190
up:G2Q421,mtm:MYCTH_2295193
up:G2Q422,mtm:MYCTH_2295196
up:G2Q423,mtm:MYCTH_2295198
up:G2Q425,mtm:MYCTH_2295204
up:G2Q426,mtm:MYCTH_2295207
up:G2Q427,mtm:MYCTH_2295212
up:G2Q428,mtm:MYCTH_2295218
up:G2Q430,mtm:MYCTH_2295230
up:G2Q432,mtm:MYCTH_2295239
up:G2Q433,mtm:MYCTH_2295242
up:G2Q434,mtm:MYCTH_2295243
up:G2Q435,mtm:MYCTH_2295245
up:G2Q436,mtm:MYCTH_2295248
up:G2Q437,mtm:MYCTH_2295250
up:G2Q438,mtm:MYCTH_2295253
up:G2Q440,mtm:MYCTH_2295254
up:G2Q441,mtm:MYCTH_2295255
up:G2Q442,mtm:MYCTH_2295256
up:G2Q443,mtm:MYCTH_2295258
up:G2Q444,mtm:MYCTH_2295261
up:G2Q445,mtm:MYCTH_2295266
up:G2Q446,mtm:MYCTH_2295268
up:G2Q4F3,mtm:MYCTH_2295272
up:G2Q4F5,mtm:MYCTH_2295275
up:G2Q4F6,mtm:MYCTH_2295280
up:G2Q4F7,mtm:MYCTH_2295283
up:G2Q4F8,mtm:MYCTH_2295284
up:G2Q4F9,mtm:MYCTH_2295287
up:G2Q4G0,mtm:MYCTH_2295289
up:G2Q4G1,mtm:MYCTH_2295290
up:G2Q4G2,mtm:MYCTH_2295293
up:G2Q4G6,mtm:MYCTH_2295298
up:G2Q4G7,mtm:MYCTH_2295301
up:G2Q4G9,mtm:MYCTH_2295307
up:G2Q4H0,mtm:MYCTH_2295309
up:G2Q4H1,mtm:MYCTH_2295311
up:G2Q4H2,mtm:MYCTH_2295315
up:G2Q4H3,mtm:MYCTH_2295317
up:G2Q4H4,mtm:MYCTH_2295321
up:G2Q4H5,mtm:MYCTH_2295324
up:G2Q4H9,mtm:MYCTH_2295331
up:G2Q4I1,mtm:MYCTH_2295337
up:G2Q4I3,mtm:MYCTH_2295338
up:G2Q4I4,mtm:MYCTH_2295344
up:G2Q4I5,mtm:MYCTH_2295346
up:G2Q4I6,mtm:MYCTH_2295347
up:G2Q4I8,mtm:MYCTH_2295350
up:G2Q4I9,mtm:MYCTH_2295353
up:G2Q4J1,mtm:MYCTH_2295355
up:G2Q4J2,mtm:MYCTH_2295358
up:G2Q4J4,mtm:MYCTH_2295362
up:G2Q4J5,mtm:MYCTH_2295366
up:G2Q4K0,mtm:MYCTH_2295383
up:G2Q4K5,mtm:MYCTH_2295391
up:G2Q4K6,mtm:MYCTH_2295392
up:G2Q4W4,mtm:MYCTH_2295396
up:G2Q4W5,mtm:MYCTH_2295397
up:G2Q4X1,mtm:MYCTH_2295405
up:G2Q4X2,mtm:MYCTH_2295409
up:G2Q4X5,mtm:MYCTH_2295414
up:G2Q4X6,mtm:MYCTH_2295416
up:G2Q4X9,mtm:MYCTH_2295424
up:G2Q4Y4,mtm:MYCTH_2295431
up:G2Q4Y5,mtm:MYCTH_2295432
up:G2Q4Y6,mtm:MYCTH_2295433
up:G2Q4Y7,mtm:MYCTH_2295436
up:G2Q4Y8,mtm:MYCTH_2295438
up:G2Q4Z0,mtm:MYCTH_2295439
up:G2Q4Z1,mtm:MYCTH_2295441
up:G2Q4Z3,mtm:MYCTH_2295444
up:G2Q4Z4,mtm:MYCTH_2295445
up:G2Q4Z8,mtm:MYCTH_2295490
up:G2Q501,mtm:MYCTH_2295497
up:G2Q502,mtm:MYCTH_2295498
up:G2Q504,mtm:MYCTH_2295501
up:G2Q509,mtm:MYCTH_2295502
up:G2Q5B7,mtm:MYCTH_2295504
up:G2Q5C0,mtm:MYCTH_2295506
up:G2Q5C2,mtm:MYCTH_2295508
up:G2Q5C3,mtm:MYCTH_2295512
up:G2Q5C4,mtm:MYCTH_2295514
up:G2Q5C5,mtm:MYCTH_2295518
up:G2Q5C7,mtm:MYCTH_2295521
up:G2Q5C9,mtm:MYCTH_2295527
up:G2Q5D9,mtm:MYCTH_2295555
up:G2Q5E1,mtm:MYCTH_2295558
up:G2Q5E2,mtm:MYCTH_2295561
up:G2Q5E4,mtm:MYCTH_2295563
up:G2Q5E5,mtm:MYCTH_2295564
up:G2Q5E7,mtm:MYCTH_2295570
up:G2Q5F5,mtm:MYCTH_2295588
up:G2Q5F6,mtm:MYCTH_2295590
up:G2Q5F7,mtm:MYCTH_2295591
up:G2Q5G0,mtm:MYCTH_2295595
up:G2Q5G1,mtm:MYCTH_2295596
up:G2Q5G2,mtm:MYCTH_2295598
up:G2Q5G3,mtm:MYCTH_2295600
up:G2Q5G4,mtm:MYCTH_2295601
up:G2Q5G6,mtm:MYCTH_2295606
up:G2Q5S2,mtm:MYCTH_2295609
up:G2Q5S4,mtm:MYCTH_2295614
up:G2Q5S6,mtm:MYCTH_2295616
up:G2Q5T0,mtm:MYCTH_2295624
up:G2Q5T2,mtm:MYCTH_2295629
up:G2Q5T3,mtm:MYCTH_2295633
up:G2Q5T5,mtm:MYCTH_2295634
up:G2Q5T6,mtm:MYCTH_2295635
up:G2Q5T7,mtm:MYCTH_2295637
up:G2Q5U1,mtm:MYCTH_2295642
up:G2Q5U2,mtm:MYCTH_2295647
up:G2Q5U5,mtm:MYCTH_2295651
up:G2Q5U8,mtm:MYCTH_2295666
up:G2Q5V2,mtm:MYCTH_2295675
up:G2Q5V3,mtm:MYCTH_2295684
up:G2Q5V4,mtm:MYCTH_2295692
up:G2Q5V5,mtm:MYCTH_2295697
up:G2Q5V6,mtm:MYCTH_2295699
up:G2Q5V8,mtm:MYCTH_2295704
up:G2Q5V9,mtm:MYCTH_2295707
up:G2Q5W0,mtm:MYCTH_2295709
up:G2Q5W3,mtm:MYCTH_2295714
up:G2Q5W4,mtm:MYCTH_2295716
up:G2Q5W8,mtm:MYCTH_2295718
up:G2Q5X1,mtm:MYCTH_2295720
up:G2Q5X2,mtm:MYCTH_2295721
up:G2Q5X3,mtm:MYCTH_2295724
up:G2Q5X5,mtm:MYCTH_2295727
up:G2Q682,mtm:MYCTH_2295728
up:G2Q683,mtm:MYCTH_2295729
up:G2Q684,mtm:MYCTH_2295731
up:G2Q687,mtm:MYCTH_2295736
up:G2Q688,mtm:MYCTH_2295737
up:G2Q691,mtm:MYCTH_2295741
up:G2Q692,mtm:MYCTH_2295743
up:G2Q693,mtm:MYCTH_2295744
up:G2Q694,mtm:MYCTH_2295745
up:G2Q696,mtm:MYCTH_2295747
up:G2Q698,mtm:MYCTH_2295750
up:G2Q699,mtm:MYCTH_2295756
up:G2Q6A1,mtm:MYCTH_2295763
up:G2Q6A2,mtm:MYCTH_2295764
up:G2Q6A3,mtm:MYCTH_2295767
up:G2Q6A4,mtm:MYCTH_2295768
up:G2Q6A5,mtm:MYCTH_2295769
up:G2Q6A6,mtm:MYCTH_2295771
up:G2Q6A7,mtm:MYCTH_2295773
up:G2Q6A8,mtm:MYCTH_2295774
up:G2Q6B0,mtm:MYCTH_2295777
up:G2Q6B2,mtm:MYCTH_2295788
up:G2Q6B3,mtm:MYCTH_2295791
up:G2Q6B6,mtm:MYCTH_2295798
up:G2Q6B7,mtm:MYCTH_2295799
up:G2Q6B8,mtm:MYCTH_2295800
up:G2Q6B9,mtm:MYCTH_2295802
up:G2Q6C3,mtm:MYCTH_2295809
up:G2Q6C4,mtm:MYCTH_2295812
up:G2Q6C5,mtm:MYCTH_2295813
up:G2Q6C7,mtm:MYCTH_2295817
up:G2Q6C8,mtm:MYCTH_2295820
up:G2Q6D0,mtm:MYCTH_2295825
up:G2Q6D1,mtm:MYCTH_2295827
up:G2Q6D3,mtm:MYCTH_2295833
up:G2Q6S7,mtm:MYCTH_2295836
up:G2Q6S8,mtm:MYCTH_2295838
up:G2Q6T1,mtm:MYCTH_2295845
up:G2Q6T2,mtm:MYCTH_2295846
up:G2Q6T4,mtm:MYCTH_2295851
up:G2Q6T5,mtm:MYCTH_2295852
up:G2Q6T7,mtm:MYCTH_2295853
up:G2Q6T9,mtm:MYCTH_2295856
up:G2Q6U0,mtm:MYCTH_2295857
up:G2Q6U2,mtm:MYCTH_2295859
up:G2Q6U4,mtm:MYCTH_2295861
up:G2Q6U5,mtm:MYCTH_2295862
up:G2Q6U6,mtm:MYCTH_2295863
up:G2Q6U8,mtm:MYCTH_2295866
up:G2Q6U9,mtm:MYCTH_2295868
up:G2Q6V0,mtm:MYCTH_2295870
up:G2Q6V1,mtm:MYCTH_2295873
up:G2Q6V2,mtm:MYCTH_2295876
up:G2Q6V6,mtm:MYCTH_2295879
up:G2Q6V8,mtm:MYCTH_2295880
up:G2Q6V9,mtm:MYCTH_2295881
up:G2Q6W0,mtm:MYCTH_2295883
up:G2Q6W1,mtm:MYCTH_2295885
up:G2Q6W3,mtm:MYCTH_2295894
up:G2Q6W4,mtm:MYCTH_2295895
up:G2Q6W7,mtm:MYCTH_2295898
up:G2Q6W9,mtm:MYCTH_2295900
up:G2Q6X0,mtm:MYCTH_2295902
up:G2Q6X1,mtm:MYCTH_2295903
up:G2Q6X2,mtm:MYCTH_2295904
up:G2Q6X3,mtm:MYCTH_2295905
up:G2Q6X4,mtm:MYCTH_2295908
up:G2Q6X6,mtm:MYCTH_2295909
up:G2Q6X7,mtm:MYCTH_2295915
up:G2Q6X8,mtm:MYCTH_2295917
up:G2Q6X9,mtm:MYCTH_2295918
up:G2PZT5,mtm:MYCTH_2295922
up:G2PZT6,mtm:MYCTH_2295923
up:G2PZT7,mtm:MYCTH_2295925
up:G2PZT8,mtm:MYCTH_2295926
up:G2PZT9,mtm:MYCTH_2295928
up:G2PZU0,mtm:MYCTH_2295930
up:G2PZU1,mtm:MYCTH_2295931
up:G2PZU2,mtm:MYCTH_2295934
up:G2PZU4,mtm:MYCTH_2295937
up:G2PZU5,mtm:MYCTH_2295939
up:G2PZU7,mtm:MYCTH_2295942
up:G2PZU8,mtm:MYCTH_2295945
up:G2PZU9,mtm:MYCTH_2295948
up:G2PZV1,mtm:MYCTH_2295952
up:G2PZV3,mtm:MYCTH_2295962
up:G2PZV4,mtm:MYCTH_2295965
up:G2PZV5,mtm:MYCTH_2295966
up:G2PZV6,mtm:MYCTH_2295968
up:G2PZV7,mtm:MYCTH_2295970
up:G2PZV8,mtm:MYCTH_2295973
up:G2PZV9,mtm:MYCTH_2295976
up:G2PZW1,mtm:MYCTH_2295979
up:G2PZW2,mtm:MYCTH_2295983
up:G2PZW4,mtm:MYCTH_2295985
up:G2PZW5,mtm:MYCTH_2295989
up:G2PZW6,mtm:MYCTH_2295992
up:G2PZW8,mtm:MYCTH_2295997
up:G2PZW9,mtm:MYCTH_2295999
up:G2PZX1,mtm:MYCTH_2296001
up:G2PZX2,mtm:MYCTH_2296005
up:G2PZX3,mtm:MYCTH_2296007
up:G2PZX4,mtm:MYCTH_2296009
up:G2PZX5,mtm:MYCTH_2296014
up:G2PZX6,mtm:MYCTH_2296015
up:G2PZX8,mtm:MYCTH_2296019
up:G2PZX9,mtm:MYCTH_2296022
up:G2PZY2,mtm:MYCTH_2296038
up:G2PZY4,mtm:MYCTH_2296040
up:G2PZY5,mtm:MYCTH_2296041
up:G2PZY6,mtm:MYCTH_2296042
up:G2PZY7,mtm:MYCTH_2296044
up:G2Q0F2,mtm:MYCTH_2296049
up:G2Q0F3,mtm:MYCTH_2296051
up:G2Q0F4,mtm:MYCTH_2296056
up:G2Q0F5,mtm:MYCTH_2296057
up:G2Q0F7,mtm:MYCTH_2296063
up:G2Q0F8,mtm:MYCTH_2296064
up:G2Q0F9,mtm:MYCTH_2296066
up:G2Q0G0,mtm:MYCTH_2296068
up:G2Q0G1,mtm:MYCTH_2296069
up:G2Q0G3,mtm:MYCTH_2296073
up:G2Q0G4,mtm:MYCTH_2296077
up:G2Q0G5,mtm:MYCTH_2296080
up:G2Q0G6,mtm:MYCTH_2296081
up:G2Q0G7,mtm:MYCTH_2296084
up:G2Q0G8,mtm:MYCTH_2296085
up:G2Q0G9,mtm:MYCTH_2296086
up:G2Q0H0,mtm:MYCTH_2296089
up:G2Q0H1,mtm:MYCTH_2296092
up:G2Q0H2,mtm:MYCTH_2296096
up:G2Q0H4,mtm:MYCTH_2296103
up:G2Q0H5,mtm:MYCTH_2296104
up:G2Q0H6,mtm:MYCTH_2296107
up:G2Q0H7,mtm:MYCTH_2296109
up:G2Q0H8,mtm:MYCTH_2296114
up:G2Q0H9,mtm:MYCTH_2296115
up:G2Q0I0,mtm:MYCTH_2296116
up:G2Q0I1,mtm:MYCTH_2296117
up:G2Q0I2,mtm:MYCTH_2296118
up:G2Q0I3,mtm:MYCTH_2296119
up:G2Q0I4,mtm:MYCTH_2296120
up:G2Q0I7,mtm:MYCTH_2296126
up:G2Q0I9,mtm:MYCTH_2296128
up:G2Q0J0,mtm:MYCTH_2296130
up:G2Q0J1,mtm:MYCTH_2296131
up:G2Q0J2,mtm:MYCTH_2296133
up:G2Q0J3,mtm:MYCTH_2296135
up:G2Q0J4,mtm:MYCTH_2296139
up:G2Q0J6,mtm:MYCTH_2296142
up:G2Q0J7,mtm:MYCTH_2296144
up:G2Q0J8,mtm:MYCTH_2296145
up:G2Q0J9,mtm:MYCTH_2296147
up:G2Q0K0,mtm:MYCTH_2296150
up:G2Q0K1,mtm:MYCTH_2296151
up:G2Q0K2,mtm:MYCTH_2296153
up:G2Q0K3,mtm:MYCTH_2296155
up:G2Q0K4,mtm:MYCTH_2296156
