id,GO,ONTOLOGY,GO_type
XP_011394541.1,"GO:0032012,GO:0005086","regulation of ARF protein signal transduction,ARF guanyl-nucleotide exchange factor activity","BP,MF"
XP_011394544.1,"GO:0032012,GO:0005086","regulation of ARF protein signal transduction,ARF guanyl-nucleotide exchange factor activity","BP,MF"
XP_011394547.1,"GO:0005840,GO:0006412,GO:0003735,GO:0005840,GO:0003735,GO:0006412","ribosome,translation,structural constituent of ribosome,ribosome,structural constituent of ribosome,translation","CC,BP,MF,CC,MF,BP"
XP_011394548.1,"GO:0005840,GO:0006412,GO:0003735,GO:0005840,GO:0003735,GO:0006412","ribosome,translation,structural constituent of ribosome,ribosome,structural constituent of ribosome,translation","CC,BP,MF,CC,MF,BP"
XP_011394551.1,GO:0006629,lipid metabolic process,BP
XP_011394552.1,GO:0006629,lipid metabolic process,BP
XP_011394553.1,"GO:0005975,GO:0004553","carbohydrate metabolic process,hydrolase activity, hydrolyzing O-glycosyl compounds","BP,MF"
XP_011394554.1,"GO:0005975,GO:0004553","carbohydrate metabolic process,hydrolase activity, hydrolyzing O-glycosyl compounds","BP,MF"
XP_011394555.1,"GO:0004601,GO:0020037,GO:0006979,GO:0055114,GO:0020037,GO:0004601,GO:0006979,GO:0055114","peroxidase activity,heme binding,response to oxidative stress,oxidation-reduction process,heme binding,peroxidase activity,response to oxidative stress,oxidation-reduction process","MF,MF,BP,BP,MF,MF,BP,BP"
XP_011394556.1,"GO:0020037,GO:0004601,GO:0006979,GO:0055114,GO:0004601,GO:0020037,GO:0006979,GO:0055114","heme binding,peroxidase activity,response to oxidative stress,oxidation-reduction process,peroxidase activity,heme binding,response to oxidative stress,oxidation-reduction process","MF,MF,BP,BP,MF,MF,BP,BP"
XP_011394557.1,"GO:0051287,GO:0055114,GO:0004471,GO:0004470,GO:0004471","NAD binding,oxidation-reduction process,malate dehydrogenase (decarboxylating) (NAD+) activity,malic enzyme activity,malate dehydrogenase (decarboxylating) (NAD+) activity","MF,BP,MF,MF,MF"
XP_011394559.1,"GO:0003824,GO:0004573,GO:0009311","catalytic activity,mannosyl-oligosaccharide glucosidase activity,oligosaccharide metabolic process","MF,MF,BP"
XP_011394560.1,"GO:0003824,GO:0004573,GO:0009311","catalytic activity,mannosyl-oligosaccharide glucosidase activity,oligosaccharide metabolic process","MF,MF,BP"
XP_011394566.1,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
XP_011394567.1,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
XP_011394570.1,"GO:0003700,GO:0006355,GO:0003677,GO:0003700","DNA-binding transcription factor activity,regulation of transcription, DNA-templated,DNA binding,DNA-binding transcription factor activity","MF,BP,MF,MF"
XP_011394571.1,"GO:0003700,GO:0006355,GO:0003677,GO:0003700","DNA-binding transcription factor activity,regulation of transcription, DNA-templated,DNA binding,DNA-binding transcription factor activity","MF,BP,MF,MF"
XP_011394574.1,"GO:0006000,GO:0004454,GO:0016773","fructose metabolic process,ketohexokinase activity,phosphotransferase activity, alcohol group as acceptor","BP,MF,MF"
XP_011394575.1,"GO:0016773,GO:0006000,GO:0004454","phosphotransferase activity, alcohol group as acceptor,fructose metabolic process,ketohexokinase activity","MF,BP,MF"
XP_011394583.1,"GO:0042254,GO:0005515","ribosome biogenesis,protein binding","BP,MF"
XP_011394588.1,GO:0005515,protein binding,MF
XP_011394589.1,GO:0005515,protein binding,MF
XP_011394593.1,"GO:0046983,GO:0006351","protein dimerization activity,transcription, DNA-templated","MF,BP"
XP_011394594.1,"GO:0046983,GO:0006351,GO:0001055,GO:0005665,GO:0006366,GO:0003677,GO:0003899,GO:0006351","protein dimerization activity,transcription, DNA-templated,RNA polymerase II activity,RNA polymerase II, core complex,transcription by RNA polymerase II,DNA binding,DNA-directed 5'-3' RNA polymerase activity,transcription, DNA-templated","MF,BP,MF,CC,BP,MF,MF,BP"
XP_011394595.1,"GO:0000127,GO:0006384","transcription factor TFIIIC complex,transcription initiation from RNA polymerase III promoter","CC,BP"
XP_011394596.1,"GO:0000127,GO:0006384","transcription factor TFIIIC complex,transcription initiation from RNA polymerase III promoter","CC,BP"
XP_011394597.1,"GO:0016787,GO:0033192,GO:0097720","hydrolase activity,calmodulin-dependent protein phosphatase activity,calcineurin-mediated signaling","MF,MF,BP"
XP_011394598.1,"GO:0033192,GO:0097720,GO:0016787","calmodulin-dependent protein phosphatase activity,calcineurin-mediated signaling,hydrolase activity","MF,BP,MF"
XP_011394601.1,GO:0048208,COPII vesicle coating,BP
XP_011394602.1,"GO:0030896,GO:0000077,GO:0030896,GO:0005730,GO:0000077","checkpoint clamp complex,DNA damage checkpoint,checkpoint clamp complex,nucleolus,DNA damage checkpoint","CC,BP,CC,CC,BP"
XP_011394605.1,GO:0005509,calcium ion binding,MF
XP_011394606.1,"GO:0002949,GO:0000408","tRNA threonylcarbamoyladenosine modification,EKC/KEOPS complex","BP,CC"
XP_011394609.1,GO:0005515,protein binding,MF
XP_011394610.1,"GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF"
XP_011394611.1,"GO:0004672,GO:0006468,GO:0005524,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding,ATP binding","MF,BP,MF,MF"
XP_011394612.1,"GO:0005096,GO:0043547,GO:0005634,GO:0043547,GO:0005096,GO:0005096,GO:0051056","GTPase activator activity,positive regulation of GTPase activity,nucleus,positive regulation of GTPase activity,GTPase activator activity,GTPase activator activity,regulation of small GTPase mediated signal transduction","MF,BP,CC,BP,MF,MF,BP"
XP_011394613.1,"GO:0005096,GO:0051056,GO:0005096,GO:0043547,GO:0005634,GO:0043547,GO:0005096","GTPase activator activity,regulation of small GTPase mediated signal transduction,GTPase activator activity,positive regulation of GTPase activity,nucleus,positive regulation of GTPase activity,GTPase activator activity","MF,BP,MF,BP,CC,BP,MF"
XP_011394618.1,GO:0008080,N-acetyltransferase activity,MF
XP_011394620.1,GO:0016787,hydrolase activity,MF
XP_011394621.1,GO:0003676,nucleic acid binding,MF
XP_011394622.1,GO:0003676,nucleic acid binding,MF
XP_011394628.1,"GO:0005742,GO:0030150","mitochondrial outer membrane translocase complex,protein import into mitochondrial matrix","CC,BP"
XP_011394630.1,GO:0003676,nucleic acid binding,MF
XP_011394632.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF,MF,BP,MF"
XP_011394634.1,"GO:0006183,GO:0004550,GO:0006228,GO:0006241,GO:0006165","GTP biosynthetic process,nucleoside diphosphate kinase activity,UTP biosynthetic process,CTP biosynthetic process,nucleoside diphosphate phosphorylation","BP,MF,BP,BP,BP"
XP_011394636.1,GO:0005515,protein binding,MF
XP_011394640.1,GO:0003824,catalytic activity,MF
XP_011394644.1,"GO:0004190,GO:0006508","aspartic-type endopeptidase activity,proteolysis","MF,BP"
XP_011394647.1,GO:0008270,zinc ion binding,MF
XP_011394655.1,"GO:0019856,GO:0004151,GO:0016812,GO:0016787","pyrimidine nucleobase biosynthetic process,dihydroorotase activity,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides,hydrolase activity","BP,MF,MF,MF"
XP_011394656.1,"GO:0019856,GO:0004151,GO:0016812,GO:0016787","pyrimidine nucleobase biosynthetic process,dihydroorotase activity,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides,hydrolase activity","BP,MF,MF,MF"
XP_011394658.1,"GO:0003824,GO:0016787","catalytic activity,hydrolase activity","MF,MF"
XP_011394659.1,"GO:0004722,GO:0006470,GO:0043169,GO:0003824","protein serine/threonine phosphatase activity,protein dephosphorylation,cation binding,catalytic activity","MF,BP,MF,MF"
XP_011394660.1,"GO:0004722,GO:0006470,GO:0043169,GO:0003824","protein serine/threonine phosphatase activity,protein dephosphorylation,cation binding,catalytic activity","MF,BP,MF,MF"
XP_011394663.1,"GO:0000398,GO:0005515,GO:0006396","mRNA splicing, via spliceosome,protein binding,RNA processing","BP,MF,BP"
XP_011394664.1,"GO:0005515,GO:0000398,GO:0006396","protein binding,mRNA splicing, via spliceosome,RNA processing","MF,BP,BP"
XP_011394665.1,"GO:0004672,GO:0006468,GO:0005524,GO:0005524,GO:0004672,GO:0006468","protein kinase activity,protein phosphorylation,ATP binding,ATP binding,protein kinase activity,protein phosphorylation","MF,BP,MF,MF,MF,BP"
XP_011394666.1,"GO:0004672,GO:0006468,GO:0005524,GO:0005524,GO:0004672,GO:0006468","protein kinase activity,protein phosphorylation,ATP binding,ATP binding,protein kinase activity,protein phosphorylation","MF,BP,MF,MF,MF,BP"
XP_011394667.1,"GO:0008270,GO:0003676","zinc ion binding,nucleic acid binding","MF,MF"
XP_011394669.1,"GO:0003743,GO:0006413","translation initiation factor activity,translational initiation","MF,BP"
XP_011394670.1,"GO:0003743,GO:0006413","translation initiation factor activity,translational initiation","MF,BP"
XP_011394672.1,GO:0019239,deaminase activity,MF
XP_011394673.1,"GO:0005524,GO:0009435,GO:0003952,GO:0006807,GO:0005737,GO:0009435,GO:0003952,GO:0004359","ATP binding,NAD biosynthetic process,NAD+ synthase (glutamine-hydrolyzing) activity,nitrogen compound metabolic process,cytoplasm,NAD biosynthetic process,NAD+ synthase (glutamine-hydrolyzing) activity,glutaminase activity","MF,BP,MF,BP,CC,BP,MF,MF"
XP_011394677.1,GO:0008017,microtubule binding,MF
XP_011394678.1,GO:0006629,lipid metabolic process,BP
XP_011394679.1,GO:0006629,lipid metabolic process,BP
XP_011394680.1,"GO:0042910,GO:0015297,GO:0055085,GO:0016020","xenobiotic transmembrane transporter activity,antiporter activity,transmembrane transport,membrane","MF,MF,BP,CC"
XP_011394684.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF,MF,BP,MF"
XP_011394685.1,"GO:0004672,GO:0006468,GO:0005524,GO:0005524,GO:0004672,GO:0006468","protein kinase activity,protein phosphorylation,ATP binding,ATP binding,protein kinase activity,protein phosphorylation","MF,BP,MF,MF,MF,BP"
XP_011394688.1,"GO:0005737,GO:0006914,GO:0008641","cytoplasm,autophagy,ubiquitin-like modifier activating enzyme activity","CC,BP,MF"
XP_011394689.1,"GO:0008641,GO:0005737,GO:0006914","ubiquitin-like modifier activating enzyme activity,cytoplasm,autophagy","MF,CC,BP"
XP_011394692.1,GO:0003676,nucleic acid binding,MF
XP_011394693.1,"GO:0005524,GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468","ATP binding,protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation","MF,MF,BP,MF,MF,BP"
XP_011394694.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF,MF,BP,MF"
XP_011394695.1,"GO:0004373,GO:0005978","glycogen (starch) synthase activity,glycogen biosynthetic process","MF,BP"
XP_011394699.1,"GO:0004129,GO:0005743","cytochrome-c oxidase activity,mitochondrial inner membrane","MF,CC"
XP_011394701.1,GO:0016757,"transferase activity, transferring glycosyl groups",MF
XP_011394702.1,GO:0016757,"transferase activity, transferring glycosyl groups",MF
XP_011394703.1,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
XP_011394710.1,"GO:0003924,GO:0031683,GO:0007186,GO:0019001,GO:0007165,GO:0001664,GO:0003924,GO:0005525,GO:0007186,GO:0005834","GTPase activity,G-protein beta/gamma-subunit complex binding,G protein-coupled receptor signaling pathway,guanyl nucleotide binding,signal transduction,G protein-coupled receptor binding,GTPase activity,GTP binding,G protein-coupled receptor signaling pathway,heterotrimeric G-protein complex","MF,MF,BP,MF,BP,MF,MF,MF,BP,CC"
XP_011394711.1,"GO:0003777,GO:0008017,GO:0007018,GO:0005524,GO:0005515,GO:0007018,GO:0003777,GO:0007018,GO:0003777,GO:0005524","microtubule motor activity,microtubule binding,microtubule-based movement,ATP binding,protein binding,microtubule-based movement,microtubule motor activity,microtubule-based movement,microtubule motor activity,ATP binding","MF,MF,BP,MF,MF,BP,MF,BP,MF,MF"
XP_011394712.1,"GO:0003777,GO:0008017,GO:0007018,GO:0005524,GO:0005515,GO:0007018,GO:0003777,GO:0007018,GO:0003777,GO:0005524","microtubule motor activity,microtubule binding,microtubule-based movement,ATP binding,protein binding,microtubule-based movement,microtubule motor activity,microtubule-based movement,microtubule motor activity,ATP binding","MF,MF,BP,MF,MF,BP,MF,BP,MF,MF"
XP_011394713.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation","MF,BP,MF,MF,BP"
XP_011394714.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation","MF,BP,MF,MF,BP"
XP_011394716.1,"GO:0022857,GO:0016020,GO:0055085","transmembrane transporter activity,membrane,transmembrane transport","MF,CC,BP"
XP_011394724.1,GO:0005515,protein binding,MF
XP_011394729.1,"GO:0008270,GO:0005975,GO:0016832,GO:0006096,GO:0004332,GO:0003824","zinc ion binding,carbohydrate metabolic process,aldehyde-lyase activity,glycolytic process,fructose-bisphosphate aldolase activity,catalytic activity","MF,BP,MF,BP,MF,MF"
XP_011394732.1,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
XP_011394733.1,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
XP_011394734.1,"GO:0009966,GO:0043666,GO:0004864","regulation of signal transduction,regulation of phosphoprotein phosphatase activity,protein phosphatase inhibitor activity","BP,BP,MF"
XP_011394738.1,GO:0006629,lipid metabolic process,BP
XP_011394742.1,GO:0010265,SCF complex assembly,BP
XP_011394745.1,"GO:0005634,GO:0006351,GO:0006338,GO:0016887,GO:0006281,GO:0031011,GO:0005524,GO:0003677","nucleus,transcription, DNA-templated,chromatin remodeling,ATPase activity,DNA repair,Ino80 complex,ATP binding,DNA binding","CC,BP,BP,MF,BP,CC,MF,MF"
XP_011394746.1,"GO:0003677,GO:0005524,GO:0005634,GO:0006351,GO:0006338,GO:0016887,GO:0006281,GO:0031011","DNA binding,ATP binding,nucleus,transcription, DNA-templated,chromatin remodeling,ATPase activity,DNA repair,Ino80 complex","MF,MF,CC,BP,BP,MF,BP,CC"
XP_011394747.1,"GO:0016491,GO:0055114,GO:0016209","oxidoreductase activity,oxidation-reduction process,antioxidant activity","MF,BP,MF"
XP_011394748.1,"GO:0016491,GO:0055114,GO:0016209","oxidoreductase activity,oxidation-reduction process,antioxidant activity","MF,BP,MF"
XP_011394753.1,GO:0008080,N-acetyltransferase activity,MF
XP_011394755.1,GO:0016791,phosphatase activity,MF
XP_011394759.1,GO:0005515,protein binding,MF
XP_011394767.1,GO:0071949,FAD binding,MF
XP_011394768.1,"GO:0016787,GO:0016810","hydrolase activity,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF,MF"
XP_011394779.1,"GO:0006629,GO:0008081","lipid metabolic process,phosphoric diester hydrolase activity","BP,MF"
XP_011394782.1,"GO:0033014,GO:0004418,GO:0018160,GO:0033014,GO:0004418","tetrapyrrole biosynthetic process,hydroxymethylbilane synthase activity,peptidyl-pyrromethane cofactor linkage,tetrapyrrole biosynthetic process,hydroxymethylbilane synthase activity","BP,MF,BP,BP,MF"
XP_011394786.1,GO:0005515,protein binding,MF
XP_011394787.1,GO:0005515,protein binding,MF
XP_011394792.1,"GO:0046872,GO:0003824,GO:0006508","metal ion binding,catalytic activity,proteolysis","MF,MF,BP"
XP_011394793.1,GO:0004601,peroxidase activity,MF
XP_011394794.1,GO:0004601,peroxidase activity,MF
XP_011394815.1,"GO:0016491,GO:0004601,GO:0020037,GO:0006979,GO:0055114","oxidoreductase activity,peroxidase activity,heme binding,response to oxidative stress,oxidation-reduction process","MF,MF,MF,BP,BP"
XP_011394824.1,GO:0003714,transcription corepressor activity,MF
XP_011394826.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_011394828.1,"GO:0000290,GO:0043085,GO:0008047","deadenylation-dependent decapping of nuclear-transcribed mRNA,positive regulation of catalytic activity,enzyme activator activity","BP,BP,MF"
XP_011394836.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_011394839.1,GO:0008380,RNA splicing,BP
XP_011394842.1,"GO:0016021,GO:0008236,GO:0006508,GO:0016020,GO:0008236,GO:0008233,GO:0006627","integral component of membrane,serine-type peptidase activity,proteolysis,membrane,serine-type peptidase activity,peptidase activity,protein processing involved in protein targeting to mitochondrion","CC,MF,BP,CC,MF,MF,BP"
XP_011394849.1,"GO:0003676,GO:0003729","nucleic acid binding,mRNA binding","MF,MF"
XP_011394865.1,"GO:0003723,GO:0001522,GO:0009982,GO:0009451,GO:0003723,GO:0001522,GO:0003723,GO:0009982,GO:0009451","RNA binding,pseudouridine synthesis,pseudouridine synthase activity,RNA modification,RNA binding,pseudouridine synthesis,RNA binding,pseudouridine synthase activity,RNA modification","MF,BP,MF,BP,MF,BP,MF,MF,BP"
XP_011394869.1,"GO:0005634,GO:0006355,GO:0042025,GO:0006355,GO:0030015,GO:0030015,GO:0006355","nucleus,regulation of transcription, DNA-templated,host cell nucleus,regulation of transcription, DNA-templated,CCR4-NOT core complex,CCR4-NOT core complex,regulation of transcription, DNA-templated","CC,BP,CC,BP,CC,CC,BP"
XP_011394872.1,"GO:0055114,GO:0006102,GO:0004450,GO:0051287,GO:0016616,GO:0055114,GO:0000287,GO:0016616,GO:0055114","oxidation-reduction process,isocitrate metabolic process,isocitrate dehydrogenase (NADP+) activity,NAD binding,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,oxidation-reduction process,magnesium ion binding,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,oxidation-reduction process","BP,BP,MF,MF,MF,BP,MF,MF,BP"
XP_011394875.1,GO:0016788,"hydrolase activity, acting on ester bonds",MF
XP_011394878.1,"GO:0004488,GO:0005524,GO:0055114,GO:0004488,GO:0055114,GO:0003824,GO:0004329,GO:0005524","methylenetetrahydrofolate dehydrogenase (NADP+) activity,ATP binding,oxidation-reduction process,methylenetetrahydrofolate dehydrogenase (NADP+) activity,oxidation-reduction process,catalytic activity,formate-tetrahydrofolate ligase activity,ATP binding","MF,MF,BP,MF,BP,MF,MF,MF"
XP_011394879.1,"GO:0005524,GO:0055114,GO:0004488,GO:0004329,GO:0005524,GO:0055114,GO:0003824,GO:0004488","ATP binding,oxidation-reduction process,methylenetetrahydrofolate dehydrogenase (NADP+) activity,formate-tetrahydrofolate ligase activity,ATP binding,oxidation-reduction process,catalytic activity,methylenetetrahydrofolate dehydrogenase (NADP+) activity","MF,BP,MF,MF,MF,BP,MF,MF"
XP_011394883.1,"GO:0004674,GO:0004672,GO:0006468,GO:0004672,GO:0006468,GO:0005524,GO:0005524","protein serine/threonine kinase activity,protein kinase activity,protein phosphorylation,protein kinase activity,protein phosphorylation,ATP binding,ATP binding","MF,MF,BP,MF,BP,MF,MF"
XP_011394884.1,"GO:0004672,GO:0006468,GO:0005524,GO:0005524,GO:0004672,GO:0006468,GO:0004674","protein kinase activity,protein phosphorylation,ATP binding,ATP binding,protein kinase activity,protein phosphorylation,protein serine/threonine kinase activity","MF,BP,MF,MF,MF,BP,MF"
XP_011394885.1,"GO:0003723,GO:0003676","RNA binding,nucleic acid binding","MF,MF"
XP_011394887.1,GO:0003676,nucleic acid binding,MF
XP_011394889.1,"GO:0031122,GO:0007020,GO:0000930,GO:0003924,GO:0005874,GO:0007017,GO:0005874,GO:0007017,GO:0005525","cytoplasmic microtubule organization,microtubule nucleation,gamma-tubulin complex,GTPase activity,microtubule,microtubule-based process,microtubule,microtubule-based process,GTP binding","BP,BP,CC,MF,CC,BP,CC,BP,MF"
XP_011394891.1,GO:0005515,protein binding,MF
XP_011394892.1,GO:0005515,protein binding,MF
XP_011394893.1,"GO:0003924,GO:0005525,GO:0005525","GTPase activity,GTP binding,GTP binding","MF,MF,MF"
XP_011394894.1,"GO:0003924,GO:0005525,GO:0005525","GTPase activity,GTP binding,GTP binding","MF,MF,MF"
XP_011394896.1,GO:0003676,nucleic acid binding,MF
XP_011394898.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF,MF,BP,MF"
XP_011394899.1,"GO:0016491,GO:0055114,GO:0016491,GO:0016620,GO:0055114,GO:0055114,GO:0006081","oxidoreductase activity,oxidation-reduction process,oxidoreductase activity,oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,oxidation-reduction process,oxidation-reduction process,cellular aldehyde metabolic process","MF,BP,MF,MF,BP,BP,BP"
XP_011394900.1,"GO:0016491,GO:0016620,GO:0055114,GO:0016491,GO:0055114,GO:0055114,GO:0006081","oxidoreductase activity,oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,oxidation-reduction process,oxidoreductase activity,oxidation-reduction process,oxidation-reduction process,cellular aldehyde metabolic process","MF,MF,BP,MF,BP,BP,BP"
XP_011394901.1,"GO:0003700,GO:0006355,GO:0003677,GO:0003700","DNA-binding transcription factor activity,regulation of transcription, DNA-templated,DNA binding,DNA-binding transcription factor activity","MF,BP,MF,MF"
XP_011394902.1,"GO:0003677,GO:0003700,GO:0003700,GO:0006355","DNA binding,DNA-binding transcription factor activity,DNA-binding transcription factor activity,regulation of transcription, DNA-templated","MF,MF,MF,BP"
XP_011394903.1,"GO:0003676,GO:0005515","nucleic acid binding,protein binding","MF,MF"
XP_011394904.1,"GO:0003676,GO:0005515","nucleic acid binding,protein binding","MF,MF"
XP_011394905.1,"GO:0033567,GO:0017108,GO:0017116","DNA replication, Okazaki fragment processing,5'-flap endonuclease activity,single-stranded DNA helicase activity","BP,MF,MF"
XP_011394906.1,"GO:0033567,GO:0017108,GO:0017116","DNA replication, Okazaki fragment processing,5'-flap endonuclease activity,single-stranded DNA helicase activity","BP,MF,MF"
XP_011394908.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_011394911.1,"GO:0003924,GO:0005525,GO:0005525,GO:0005525,GO:0000288,GO:0003747,GO:0006415","GTPase activity,GTP binding,GTP binding,GTP binding,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,translation release factor activity,translational termination","MF,MF,MF,MF,BP,MF,BP"
XP_011394912.1,"GO:0003924,GO:0005525,GO:0005525,GO:0000288,GO:0003747,GO:0006415,GO:0005525","GTPase activity,GTP binding,GTP binding,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,translation release factor activity,translational termination,GTP binding","MF,MF,MF,BP,MF,BP,MF"
XP_011394914.1,GO:0016491,oxidoreductase activity,MF
XP_011394915.1,GO:0016491,oxidoreductase activity,MF
XP_011394916.1,GO:0016491,oxidoreductase activity,MF
XP_011394918.1,"GO:0005779,GO:0016559","integral component of peroxisomal membrane,peroxisome fission","CC,BP"
XP_011394926.1,"GO:0055114,GO:0016491,GO:0016491,GO:0008270,GO:0055114","oxidation-reduction process,oxidoreductase activity,oxidoreductase activity,zinc ion binding,oxidation-reduction process","BP,MF,MF,MF,BP"
XP_011394927.1,"GO:0016491,GO:0008270,GO:0055114,GO:0055114,GO:0016491","oxidoreductase activity,zinc ion binding,oxidation-reduction process,oxidation-reduction process,oxidoreductase activity","MF,MF,BP,BP,MF"
XP_011394932.1,"GO:0020037,GO:0055114,GO:0005506,GO:0016705,GO:0020037,GO:0004497,GO:0055114,GO:0005506,GO:0016705,GO:0055114,GO:0016705","heme binding,oxidation-reduction process,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,heme binding,monooxygenase activity,oxidation-reduction process,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,oxidation-reduction process,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF,BP,MF,MF,MF,MF,BP,MF,MF,BP,MF"
XP_011394933.1,"GO:0016020,GO:0016651,GO:0055114,GO:0051539","membrane,oxidoreductase activity, acting on NAD(P)H,oxidation-reduction process,4 iron, 4 sulfur cluster binding","CC,MF,BP,MF"
XP_011394936.1,GO:0016787,hydrolase activity,MF
XP_011394937.1,"GO:0005840,GO:0003735,GO:0006412,GO:0006412","ribosome,structural constituent of ribosome,translation,translation","CC,MF,BP,BP"
XP_011394939.1,GO:0016491,oxidoreductase activity,MF
XP_011394940.1,GO:0016491,oxidoreductase activity,MF
XP_011394946.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_011394954.1,"GO:0046912,GO:0019752,GO:0046912,GO:0019752,GO:0019878,GO:0004410,GO:0003824","transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer,carboxylic acid metabolic process,transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer,carboxylic acid metabolic process,lysine biosynthetic process via aminoadipic acid,homocitrate synthase activity,catalytic activity","MF,BP,MF,BP,BP,MF,MF"
XP_011394955.1,"GO:0046912,GO:0019752,GO:0003824","transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer,carboxylic acid metabolic process,catalytic activity","MF,BP,MF"
XP_011394957.1,GO:0004112,cyclic-nucleotide phosphodiesterase activity,MF
XP_011394959.1,GO:0006486,protein glycosylation,BP
XP_011394960.1,GO:0046872,metal ion binding,MF
XP_011394961.1,GO:0016021,integral component of membrane,CC
XP_011394962.1,GO:0016021,integral component of membrane,CC
XP_011394966.1,GO:0008080,N-acetyltransferase activity,MF
XP_011394967.1,GO:0008080,N-acetyltransferase activity,MF
XP_011394968.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_011394969.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_011394970.1,"GO:0006338,GO:0005634","chromatin remodeling,nucleus","BP,CC"
XP_011394972.1,GO:0019867,outer membrane,CC
XP_011394973.1,GO:0019867,outer membrane,CC
XP_011394974.1,GO:0019867,outer membrane,CC
XP_011394976.1,"GO:0016504,GO:0070628,GO:0070577","peptidase activator activity,proteasome binding,lysine-acetylated histone binding","MF,MF,MF"
XP_011394977.1,"GO:0006644,GO:0008195","phospholipid metabolic process,phosphatidate phosphatase activity","BP,MF"
XP_011394978.1,"GO:0006644,GO:0008195","phospholipid metabolic process,phosphatidate phosphatase activity","BP,MF"
XP_011394981.1,GO:0070403,NAD+ binding,MF
XP_011394985.1,"GO:0008121,GO:0006122","ubiquinol-cytochrome-c reductase activity,mitochondrial electron transport, ubiquinol to cytochrome c","MF,BP"
